"","Year","Month","Site","PM","SM","unknown","NA","total","proportion","SiteType"
"166",2013,"August","P27",11,3,0,0,14,0.785714285714286,"More Contaminated"
"167",2013,"August","SI",4,0,0,0,4,1,"More Contaminated"
"168",2013,"July","DC",4,1,0,0,5,0.8,"Less Contaminated"
"169",2013,"July","FP",1,3,0,0,4,0.25,"Less Contaminated"
"170",2013,"July","LS",8,1,0,0,9,0.888888888888889,"Less Contaminated"
"171",2013,"July","P27",9,6,1,0,16,0.5625,"More Contaminated"
"172",2013,"July","SI",22,16,10,0,48,0.458333333333333,"More Contaminated"
"173",2013,"June","DC",6,0,0,0,6,1,"Less Contaminated"
"174",2013,"June","FP",7,0,2,0,9,0.777777777777778,"Less Contaminated"
"175",2013,"June","GC",2,0,0,0,2,1,"Less Contaminated"
"176",2013,"June","LS",8,2,0,0,10,0.8,"Less Contaminated"
"177",2013,"June","P27",1,1,0,0,2,0.5,"More Contaminated"
"178",2013,"June","SI",6,10,4,0,20,0.3,"More Contaminated"
"179",2013,"May","DC",1,0,0,0,1,1,"Less Contaminated"
"180",2013,"May","FP",6,0,1,0,7,0.857142857142857,"Less Contaminated"
"181",2013,"May","LS",8,3,1,0,12,0.666666666666667,"Less Contaminated"
"182",2013,"May","P27",2,1,0,0,3,0.666666666666667,"More Contaminated"
"183",2013,"May","SI",7,7,3,0,17,0.411764705882353,"More Contaminated"
"184",2013,"October","DC",1,0,0,0,1,1,"Less Contaminated"
"185",2013,"October","GC",1,0,0,0,1,1,"Less Contaminated"
"186",2013,"September","DC",0,0,1,0,1,0,"Less Contaminated"
"187",2014,"August","DC",1,0,1,0,2,0.5,"Less Contaminated"
"188",2014,"August","P27",1,0,1,0,2,0.5,"More Contaminated"
"189",2014,"August","SI",6,0,0,0,6,1,"More Contaminated"
"190",2014,"July","FP",1,0,0,0,1,1,"Less Contaminated"
"191",2014,"July","SI",10,4,8,0,22,0.454545454545455,"More Contaminated"
"192",2014,"June","DC",3,1,0,0,4,0.75,"Less Contaminated"
"193",2014,"June","FP",3,1,0,0,4,0.75,"Less Contaminated"
"194",2014,"June","GC",1,0,0,0,1,1,"Less Contaminated"
"195",2014,"June","LS",20,8,1,0,29,0.689655172413793,"Less Contaminated"
"196",2014,"June","P27",3,1,0,0,4,0.75,"More Contaminated"
"197",2014,"June","SI",9,5,4,0,18,0.5,"More Contaminated"
"198",2014,"May","DC",2,2,2,0,6,0.333333333333333,"Less Contaminated"
"199",2014,"May","FP",4,3,2,0,9,0.444444444444444,"Less Contaminated"
"200",2014,"May","GC",1,0,1,0,2,0.5,"Less Contaminated"
"201",2014,"May","LS",5,1,0,0,6,0.833333333333333,"Less Contaminated"
"202",2014,"May","P27",0,0,1,0,1,0,"More Contaminated"
"203",2014,"May","SI",1,0,0,0,1,1,"More Contaminated"
"204",2014,"October","DC",0,1,0,0,1,0,"Less Contaminated"
"205",2014,"October","LS",0,1,0,0,1,0,"Less Contaminated"
"206",2014,"October","SI",0,1,1,0,2,0,"More Contaminated"
"207",2015,"August","FP",1,0,0,0,1,1,"Less Contaminated"
"208",2015,"August","LS",7,0,1,0,8,0.875,"Less Contaminated"
"209",2015,"August","P27",7,4,0,0,11,0.636363636363636,"More Contaminated"
"210",2015,"July","DC",6,1,0,0,7,0.857142857142857,"Less Contaminated"
"211",2015,"July","P27",2,2,0,0,4,0.5,"More Contaminated"
"212",2015,"July","SI",9,2,1,0,12,0.75,"More Contaminated"
"213",2015,"June","DC",1,0,1,0,2,0.5,"Less Contaminated"
"214",2015,"June","FP",1,0,0,0,1,1,"Less Contaminated"
"215",2015,"June","LS",5,8,2,0,15,0.333333333333333,"Less Contaminated"
"216",2015,"June","SI",3,1,1,0,5,0.6,"More Contaminated"
"217",2015,"May","DC",2,0,0,0,2,1,"Less Contaminated"
"218",2015,"May","LS",4,1,0,0,5,0.8,"Less Contaminated"
"219",2015,"May","P27",1,0,0,0,1,1,"More Contaminated"
"220",2015,"May","SI",0,2,0,0,2,0,"More Contaminated"
"221",2016,"August","DC",1,0,0,0,1,1,"Less Contaminated"
"222",2016,"August","LS",1,1,1,0,3,0.333333333333333,"Less Contaminated"
"223",2016,"August","P27",8,7,0,0,15,0.533333333333333,"More Contaminated"
"224",2016,"August","SI",4,1,0,0,5,0.8,"More Contaminated"
"225",2016,"July","DC",4,0,0,0,4,1,"Less Contaminated"
"226",2016,"July","GC",1,0,1,0,2,0.5,"Less Contaminated"
"227",2016,"July","LS",8,9,1,0,18,0.444444444444444,"Less Contaminated"
"228",2016,"July","P27",3,1,1,0,5,0.6,"More Contaminated"
"229",2016,"July","SI",4,4,1,0,9,0.444444444444444,"More Contaminated"
"230",2016,"June","DC",6,0,0,0,6,1,"Less Contaminated"
"231",2016,"June","FP",12,3,0,0,15,0.8,"Less Contaminated"
"232",2016,"June","GC",2,1,0,0,3,0.666666666666667,"Less Contaminated"
"233",2016,"June","LS",5,4,0,0,9,0.555555555555556,"Less Contaminated"
"234",2016,"June","P27",6,4,0,0,10,0.6,"More Contaminated"
"235",2016,"June","SI",12,14,3,0,29,0.413793103448276,"More Contaminated"
"236",2016,"May","DC",2,1,0,0,3,0.666666666666667,"Less Contaminated"
"237",2016,"May","FP",12,3,3,0,18,0.666666666666667,"Less Contaminated"
"238",2016,"May","GC",1,0,0,0,1,1,"Less Contaminated"
